BId,BNo,CId
472375,4,110
406,107,118
412,113,118
784,700,147
787,703,147
842,759,147
1030,950,147
1034,954,147
1064,984,147
1156,1076,147
1163,1083,147
1489,390,188
1752,21,203
1772,42,203
1826,2,219
1974,1,291
2349,3,434
2386,1,450
2682,0,498
2778,2,525
2945,2,560
2962,1,565
3151,95,572
3582,16,664
3706,1,672
4107,267,681
4848,4,762
5188,48,786
5337,27,823
5552,1,893
5845,1,953
5880,1,974
5884,1,977
5895,6,982
5930,1,997
6152,153,1038
6476,2,1116
6695,3,1219
6820,2,1273
7184,0,1434
7539,1,1556
7594,0,1570
7796,1,1635
8008,2,1711
8126,27,1724
8127,28,1724
8132,33,1724
8809,135,1837
8915,17,1851
8986,67,1852
9113,24,1867
9434,2,1879
11125,12,2123
11201,2,2161
11636,0,2335
11694,1,2348
12057,8,2446
12102,3,2456
12117,0,2464
12191,0,2491
12711,87,2679
12725,101,2679
12914,0,2786
13052,94,2819
13139,181,2819
14419,338,3114
14455,374,3114
14496,415,3114
15024,943,3114
15062,981,3114
15138,1057,3114
15219,1138,3114
15242,1161,3114
15260,1179,3114
15262,1181,3114
15332,1251,3114
15404,1323,3114
15531,1450,3114
15583,1502,3114
15588,1507,3114
15855,1774,3114
16012,1931,3114
16175,7,3123
16264,5,3134
16331,2,3172
16684,2,3333
16699,6,3337
16774,8,3360
17070,1,3432
17148,53,3446
17463,0,3466
18113,4,3644
18248,1,3675
18553,2,3752
19109,43,3902
19337,9,3960
19509,14,4006
19885,192,4044
19928,235,4044
20244,2,4092
20287,2,4108
20666,2,4214
20946,18,4333
21131,37,4373
21629,16,4481
21926,33,4507
22084,3,4542
22124,38,4543
22142,56,4543
22802,3,4692
22846,0,4717
23034,1,4822
23038,2,4825
23133,1,4873
23424,19,4990
23604,115,5027
23667,178,5027
23799,28,5061
23839,9,5063
24220,6,5121
24631,2,5158
24796,0,5178
24816,6,5184
25022,2,5262
25060,14,5273
25322,14,5340
25695,3,5429
25796,1,5473
25941,0,5540
26376,179,5598
27393,0,5828
27537,29,5898
27645,86,5899
27894,7,5973
27979,27,5989
28002,4,5998
28569,338,6026
28598,367,6026
29057,0,6039
29088,14,6050
29600,154,6101
29729,5,6104
29853,6,6148
30379,1,6288
30720,114,6316
30761,155,6316
30899,293,6316
31455,2,6438
31807,2,6574
32021,14,6637
32176,21,6650
32305,150,6650
32409,5,6667
32417,13,6667
32584,31,6730
32859,309,6730
32890,340,6730
32908,358,6730
33061,518,6730
33150,607,6730
33177,40550,6730
33436,0,6794
33524,86,6797
33595,157,6797
33632,194,6797
33655,5,6802
33963,1,6864
34118,7,6929
34125,14,6929
34599,4,7001
34645,0,7004
34819,0,7073
35067,6,7140
35141,2,7156
35285,2,7215
35445,4,7244
35449,8,7244
35633,1,7269
35670,15,7278
35722,0,7312
35753,14,7330
35839,26,7345
36024,41,7394
36175,2,7454
36512,2,7559
36790,267,7687
37008,485,7687
37334,25,7757
37434,0,7792
37925,4,7905
38255,2,8006
38471,12,8087
38507,12,8096
39241,0,8325
39997,26,8561
40009,38,8561
40017,46,8561
40095,26,8562
40330,6,8653
40409,3,8688
40495,8,8713
40706,1,8768
40872,4,8833
40883,1,8838
40904,20,8839
41061,2,8878
41145,1,8894
41525,6,8961
41616,10,8981
41716,20,9001
41789,45,9010
41889,0,9026
42076,0,9038
42282,15,9054
42552,189,9080
42595,247,9080
42693,35,9083
42782,5,9115
42946,72,9131
43432,1,9158
43644,12,9256
43770,8,9286
43948,2,9329
44049,96,9332
44075,1,9347
44126,6,9354
44208,34,9378
44232,13,9380
44477,4,9443
44504,0,9457
44660,4,9501
45149,73,9539
45440,3,9556
45475,6,9558
45761,51,9569
45839,6,9572
46291,22,9599
46464,195,9599
46702,2,9657
47016,0,9750
47075,2,9768
47076,0,9769
47262,34,9803
47406,86,9818
47414,4,9819
47452,151,9819
47575,280,9819
47710,57,9848
47986,43,9945
48645,2,10011
48695,17,10018
48746,2,10029
49358,7,10113
49394,7,10121
49490,0,10152
49540,50,10152
49545,55,10152
49673,2,10167
49736,0,10185
49979,5,10243
50229,3,10346
50419,111,10356
50634,9,10419
50891,62,10476
50911,82,10476
50992,19,10481
51355,3,10544
51414,13,10560
51428,27,10560
51445,6,10570
51448,9,10570
51567,129,10570
51917,480,10570
52249,812,10570
52291,855,10570
52599,1164,10570
53095,22,10719
53349,85,10754
53363,99,10754
53416,8,10773
53486,3,10802
53544,0,10815
53757,129,10845
53782,1,10846
54106,0,10944
54187,6,10971
54440,2,10972
54487,3,10989
54785,48,11107
55193,38,11161
55259,30,11170
55709,480,11170
55750,521,11170
55810,581,11170
56217,988,11170
56285,1056,11170
56570,1341,11170
56583,1354,11170
56993,1764,11170
57314,2085,11170
57542,2313,11170
57981,2752,11170
58030,2801,11170
58345,3116,11170
58483,3254,11170
58649,3420,11170
58846,3617,11170
58949,3720,11170
58961,3732,11170
59218,3989,11170
59324,4095,11170
59351,4122,11170
59427,4198,11170
59799,4570,11170
59915,4686,11170
60219,4990,11170
60247,5018,11170
60742,5513,11170
60789,5560,11170
61354,6125,11170
61413,6184,11170
61584,6355,11170
61953,6724,11170
62004,6775,11170
62055,6826,11170
62059,6830,11170
62061,6832,11170
62099,6870,11170
62402,7173,11170
62559,4,11209
62682,1,11244
62691,3,11246
62699,2,11249
63447,2,11451
63530,7,11485
63900,4,11560
64015,1,11589
64266,21,11661
64351,22,11687
64411,26,11693
65405,52,11782
65791,43,11857
66108,4,11936
66123,1,11940
66239,16,11971
66632,1,12040
66824,1,12107
66842,0,12116
66897,0,12151
67074,47,12184
67125,98,12184
67465,96,12282
67473,104,12282
67558,189,12282
67771,0,12314
67784,0,12325
67884,0,12368
68128,165,12393
68984,5,12411
69110,38,12446
69239,36,12472
69281,78,12472
69716,1,12613
69920,140,12645
70495,1,12648
70944,2,12731
71029,0,12762
71132,82,12764
71140,90,12764
71336,286,12764
71404,354,12764
71450,400,12764
71483,433,12764
71531,481,12764
72056,2,12782
72149,28,12809
72152,31,12809
72894,474,12838
73089,2,12853
73128,4,12863
73409,9,12921
73433,11,12928
74126,74,13025
74242,2,13052
74265,7,13059
74602,1,13164
74655,0,13200
74701,1,13217
74833,103,13230
74995,5,13246
75099,62,13272
75320,2,13309
75639,89,13392
76475,768,13393
77037,137,13406
77646,118,13446
77669,1,13447
77832,11,13469
77955,23,13494
78128,44,13510
78664,166,13610
78899,8,13627
78983,28,13640
79003,5,13645
79025,15,13647
79047,23,13651
79059,1,13654
79065,2,13656
79072,3,13658
79301,95,13693
79600,26,13750
79711,2,13770
79910,24,13811
79994,1,13827
80168,16,13848
80189,14,13850
80308,24,13902
80434,18,13943
80556,53,13944
80657,14,13948
80804,7,13956
80979,63,13961
81007,92,13961
81175,18,13962
81521,12,13977
81755,2,13990
82055,0,14001
82424,15,14014
82629,13,14025
83473,0,14384
83569,57,14407
83789,6,14508
83975,160,14525
84173,39,14566
84215,1,14569
84290,4,14613
84563,5,14683
84969,82,14709
84992,105,14709
85138,6,14741
85317,2,14771
85427,6,14818
85452,11,14823
85467,0,14825
86017,4,14961
86083,0,14987
86268,23,15057
86390,145,15057
86434,1,15070
86547,73,15082
86582,114,15082
86658,1,15086
86818,35,15110
87379,31,15190
87647,2,15225
87861,48,15238
88053,3,15262
88919,0,15450
88990,11,15456
88991,12,15456
89268,9,15467
89509,3,15506
89809,5,15564
89881,18,15590
90311,128,15624
90541,31,15627
90557,47,15627
90646,2,15633
90965,7,15723
91116,4,15732
91177,1,15744
91638,2,15873
91833,14,15943
91921,1,15980
91922,1,15982
92374,0,16070
92429,21,16085
92658,57,16131
93702,16,16281
93775,3,16302
93893,50,16311
93921,78,16311
94156,24,16315
94278,46,16317
94724,29,16342
94756,10,16343
94839,13,16345
94986,36,16350
95022,72,16350
95122,58,16351
95284,29,16379
95302,47,16379
95755,0,16705
95853,0,16803
95889,0,16839
96339,0,17244
96763,0,17668
96869,0,17774
96947,0,17852
97098,0,18003
97296,0,18201
97299,0,18204
97319,0,18224
97360,0,18265
97810,1,18457
98001,4,18487
98035,29,18491
98210,204,18491
98360,14,18492
98437,91,18492
98439,93,18492
98781,4,18562
98996,1,18654
99094,103,18654
99279,33,18678
99306,60,18678
99325,79,18678
99796,52,18805
100066,77,18839
100112,123,18839
100359,370,18839
100617,29,18911
101009,0,18985
101273,14,19098
101290,31,19098
101982,34,19247
102330,137,19303
102371,0,19315
102584,1,19355
103084,1,19468
103270,8,19550
103409,1,19563
103578,2,19588
103617,9,19600
103655,29,19602
104507,134,19683
104528,155,19683
104554,181,19683
105193,307,19733
105336,39,19740
105390,93,19740
105790,21,19815
105864,10,19820
106124,1,19877
106128,0,19879
106376,2,19950
106393,3,19955
106539,487,19969
107114,18,20021
107195,1,20058
107373,6,20131
107508,62,20150
107607,1,20166
107627,52,20170
107781,269,20170
107837,355,20170
107964,14,20180
108061,19,20191
108213,118,20210
108379,284,20210
108399,304,20210
108514,419,20210
108823,728,20210
108897,802,20210
109108,1013,20210
109386,9,20287
109521,110,20291
109581,170,20291
109644,233,20291
109747,336,20291
109811,400,20291
110101,49,20347
110266,53,20349
110604,67,20358
111197,107,20466
111298,0,20483
111556,195,20520
111725,419,20521
111922,616,20521
111954,648,20521
112073,0,20535
112185,5,20589
112370,0,20685
112375,4,20686
112460,8,20736
112513,2,20748
112726,1,20833
113115,2,20938
113159,15,20946
113216,0,20972
113332,69,20993
114416,8,21168
115437,16,21396
115603,10,21402
115616,0,21405
115826,46,21440
115862,1,21450
116696,112,21618
116933,0,21637
117048,2,21669
117142,7,21687
117606,18,21792
117647,13,21801
117651,17,21801
117883,23,21842
117908,2,21845
118215,1,21918
118414,526,22013
119681,829,22014
120119,1267,22014
120453,1601,22014
120578,1726,22014
120672,1820,22014
121490,2638,22014
122024,3172,22014
122090,3238,22014
122319,3467,22014
122398,3546,22014
122464,3612,22014
122554,3702,22014
122982,4130,22014
123258,4406,22014
123390,4538,22014
123809,4957,22014
124129,5277,22014
124305,5453,22014
124315,5463,22014
124931,6079,22014
124956,6104,22014
125128,6276,22014
125378,6526,22014
125447,6595,22014
125524,6672,22014
125868,7016,22014
126273,7421,22014
126556,7704,22014
126735,7883,22014
127088,8236,22014
127214,8362,22014
127320,8468,22014
127407,8555,22014
127459,8607,22014
127523,8671,22014
127593,8741,22014
127700,8848,22014
127837,8985,22014
128319,9467,22014
128479,9627,22014
128521,9669,22014
129279,0,22421
129934,0,22588
130122,25,22637
130647,6,22832
130673,1,22842
130812,78,22860
130975,241,22860
131085,351,22860
131265,531,22860
131298,564,22860
132252,1518,22860
132369,1635,22860
132573,1839,22860
132661,1927,22860
133120,7,23012
133481,28,23070
133591,0,23118
133905,85,23208
134118,299,23208
134441,8,23307
134648,40,23368
134687,79,23368
134710,0,23369
134811,0,23421
135158,52,23455
135199,1,23461
135505,18,23561
135732,0,23623
135829,49,23641
135945,2,23682
135966,20,23683
136008,62,23683
136492,90,23740
136536,134,23740
136541,139,23740
136696,3,23785
136864,171,23785
136998,57,23812
137007,1,23813
137045,30,23822
137083,0,23824
137217,0,23886
137274,7,23925
137509,87,24007
137614,8,24022
137628,5,24025
137673,13,24030
137729,69,24030
137838,24,24048
137854,40,24048
138007,193,24048
138184,45,24075
138229,0,24095
138304,2,24134
138436,19,24174
138615,10,24233
138762,1,24273
138789,4,24282
139208,0,24330
139429,25,24378
139589,7,24402
139790,10,24477
139985,0,24529
140178,65,24554
140204,9,24558
141247,14,24700
141506,13,24723
141515,22,24723
141674,10,24737
141683,2,24739
141992,198,24792
142064,270,24792
142284,1,24820
142304,0,24821
142832,165,24906
142941,12,24939
143293,1,25035
143386,10,25063
144112,11,25324
144168,67,25324
144287,37,25356
144480,3,25406
145008,1,25528
145125,20,25546
145265,9,25577
145509,1,25643
145535,5,25657
145760,0,25756
145810,49,25758
145849,88,25758
146028,47,25766
146145,164,25766
146441,5,25842
146523,32,25867
146582,0,25883
146837,1,25966
147392,126,26090
147556,125,26091
147842,0,26103
147894,46404,26113
148133,1,26230
148636,184,26290
149446,81,26475
149473,6,26476
149479,35,26476
149732,40,26539
149934,41,26584
150065,172,26584
150091,198,26584
151550,52,26895
151948,2,26989
152099,1,27039
152141,2,27053
152715,3,27157
152739,20,27158
152759,0,27160
153046,35,27183
153144,31,27199
153275,8,27237
153497,15,27326
153552,22,27338
153770,20,27428
153953,8,27478
154302,40,27590
154758,0,27804
154845,0,27839
155277,37,27933
155464,156,27934
155480,172,27934
155502,194,27934
155725,53,28008
156070,9,28126
156216,1,28152
156407,0,28174
156409,7,28175
156889,3,28303
157508,2,28477
157548,0,28491
157642,1,28514
157932,51,28571
158351,69,28678
158378,96,28678
158587,2,28749
158676,13,28759
159189,6,28824
159327,1,28861
159546,0,28906
159658,2,28959
159751,2,28986
160191,8,29072
160498,33,29127
160504,39,29127
161333,219,29225
161480,3,29246
161777,1,29328
162489,692,29338
162936,1,29339
163019,84,29339
163031,96,29339
163230,295,29339
163509,29,29343
163621,6,29385
163718,91,29390
163877,0,29427
164126,41,29455
164462,377,29455
164521,436,29455
164538,453,29455
164664,579,29455
165012,73,29514
165713,774,29514
165792,1,29546
166106,4,29612
166140,0,29628
166226,1,29634
166619,2,29779
166685,5,29793
166995,4,29869
167068,2,29903
167239,2,29932
167284,47,29932
167350,113,29932
167440,0,29946
167551,0,29989
167981,6,30085
168385,1,30185
168435,45,30188
168618,12,30239
168994,2,30309
169054,18,30326
169146,110,30326
169290,4,30356
169441,8,30384
169470,0,30387
169475,2,30390
169572,3,30441
169802,50,30475
169977,225,30475
170223,471,30475
170321,569,30475
170426,9,30512
170720,1,30632
171322,46,30761
171375,7,30765
171443,11,30769
171481,11,30772
171537,43,30773
171757,146,30774
172271,69,30804
172469,67,30812
173071,182,30823
173078,189,30823
173287,0,30886
173518,35,30968
173596,113,30968
173634,3,30969
174217,104,31105
174440,327,31105
174532,419,31105
174537,424,31105
174540,427,31105
174607,494,31105
175113,1000,31105
175292,1179,31105
175424,1311,31105
175716,1603,31105
175720,1607,31105
175736,1623,31105
175769,1656,31105
176304,2191,31105
176609,8,31153
176627,26,31153
177052,17,31210
177056,1,31211
177485,2,31358
177851,10,31505
177937,1,31531
178112,46,31600
178169,2,31620
178197,2,31635
178207,1,31641
178548,158,31701
178588,2,31713
178629,26,31724
178668,65,31724
178997,5,31738
179003,11,31738
179032,5,31743
179196,3,31794
179446,42,31892
179463,59,31892
179722,318,31892
180035,3,31904
180095,63,31904
180171,139,31904
180553,3,31991
180654,10,32040
180790,146,32040
180805,161,32040
180976,2,32101
181208,0,32200
181310,6,32230
181335,1,32240
181458,8,32293
181714,34,32375
181729,49,32375
182262,366,32406
182919,0,32431
183294,0,32573
183863,32,32726
183965,26,32757
184079,4,32786
184391,1,32887
184397,5,32889
184460,93,32889
185190,275,33058
185348,433,33058
185458,1,33069
185786,12,33132
185862,4,33141
186067,53,33184
186184,4,33220
186241,0,33248
186306,66,33249
186495,255,33249
186511,271,33249
186949,709,33249
187048,808,33249
187227,988,33249
187462,1223,33249
188225,1989,33249
188259,2023,33249
188647,2411,33249
188811,2575,33249
188816,2580,33249
188981,2745,33249
189010,2774,33249
189052,2816,33249
189122,2886,33249
189413,3177,33249
189621,8,33255
189841,16,33334
190338,64,33434
190377,2,33447
190390,0,33458
190587,154,33477
190762,21,33521
190810,0,33546
191053,4,33606
191527,41527,33717
192121,387,33745
192205,471,33745
192512,778,33745
192576,842,33745
192697,963,33745
193310,73,33829
193421,4,33838
193546,55,33858
193907,243,33859
194102,438,33859
194158,494,33859
194163,499,33859
194482,0,33890
194578,75,33923
194738,3,33964
194761,1,33984
195034,29,34041
195042,37,34041
195086,28,34044
195622,1,34239
196195,0,34431
196469,0,34463
196879,0,34581
196949,3,34604
196995,9,34621
197009,1,34622
197014,1,34625
197607,480,34654
197650,2,34658
197651,3,34658
197867,1,34700
197874,0,34701
198255,0,34715
198276,11,34720
198327,4,34736
198719,2,34823
198749,17,34824
198814,30,34830
199128,344,34830
199264,480,34830
199309,525,34830